enr,id,multiaddr,epoch,metadata,long_lived_subnets,subscribed_subnets,client_version,crawler_id,crawler_location,timestamp
enr:-MK4QOoK7MupwVtkBFhDyUXFSp6yMpwpF7aVDTXHQGw9EVuuIyrh5Il2UfRiYlVS213GArxeKLIALFSdEkx9-OHqmQGGAY8HftJ9h2F0dG5ldHOIAAAAAAYAAACEZXRoMpBqlaGpBAAAAP__________gmlkgnY0gmlwhMKjqMuJc2VjcDI1NmsxoQOKzJEn6-DKCUSzPLK9b68i9MdcohA7K93IguSbdUXMmIhzeW5jbmV0cwCDdGNwgjLIg3VkcIIu4A,16Uiu2HAmMzoXsM9Hk2LWzhpf7m745cpBrKbkJs58pKgbVaAroVoV,/ip4/194.163.168.203/tcp/13000,286684,"{""seq_number"":32,""attnets"":""0000800100000000"",""syncnets"":""00""}","[23,24]","[23,24,10]",Prysm/v5.0.3/38f208d70dc95b12c08403f5c72009aaa10dfe2f,FLY_MACHINE_ID,FLY_REGION,1716910862810
enr:-Ly4QIYzd2rNhmc6yvcC8rTT3MPgMzzTix3xKbN20Zgf6_CFPbXUnGmQaMtaVVjMiPlj47XJZXlqAsaS0r6yeq7x-8YSh2F0dG5ldHOIAAAAAAAwAACEZXRoMpBqlaGpBAAAAP__________gmlkgnY0gmlwhI1eqyKJc2VjcDI1NmsxoQO0AtSH40-28agKpNo_jXi_MCBY0Y4VtPFisNMv3WizY4hzeW5jbmV0cwSDdGNwgiMog3VkcIIjKA,16Uiu2HAmQmgEq9WhnKycVfuQuqTujYu3toZvZUiMGFfiMnxR54Kc,/ip4/141.94.171.34/tcp/9000,286684,"{""seq_number"":13,""attnets"":""0000000000300000"",""syncnets"":""04""}","[44,45]","[44,45,48]",lodestar/v1.18.1,FLY_MACHINE_ID,FLY_REGION,1716910933378
enr:-Ma4QJJWizx6gQIcDh8Wl4h60R8xgi8KYDQgO_OGManEyr5KZ4VO7XgUxx9tU9k5BsfQhkyejYosND-t4_CSSE0yv22CA0KHYXR0bmV0c4gAAAAAYAAAAIRldGgykGqVoakEAAAA__________-CaWSCdjSCaXCEGBsoWYRxdWljgiMpiXNlY3AyNTZrMaEDyiJX8IL4S_419i_tIz55u3IbTSQ1ob994ZmuT7IFc9uIc3luY25ldHMAg3RjcIIjKIN1ZHCCIyg,16Uiu2HAmSG35YXSJyh14yMQXRFjFnL1huBLkqNtSahV42TZaxVAz,/ip4/24.27.40.89/tcp/9000,286685,"{""seq_number"":791,""attnets"":""0000000060000000"",""syncnets"":""00""}","[37,38]","[38,37,34]",Lighthouse/v5.1.3-3058b96/x86_64-windows,FLY_MACHINE_ID,FLY_REGION,1716911069953
enr:,16Uiu2HAm8gd5iqHUtFdr3n56q2XUeJXXTNkwuSx14w4hB9bKH4mQ,/ip4/82.100.58.107/tcp/13000,286685,"{""seq_number"":48,""attnets"":""0080010000000000"",""syncnets"":""00""}","[15,16]","[38,62,41,30,52,27,13,7,54,18,22,21,39,6,20,46,42,35,55,15,61,48,56,16,33,25,32,47,29,28,44,1,36,14,43,63,58,50,51,40,31,49,12,0,9,53,26,10,17,3,4,45,5,60,24,59,57,23,8,37,19,11,34,2]",Prysm/v5.0.2/b3053dc96ad2b89fc66ce44009178a010cd2258d,FLY_MACHINE_ID,FLY_REGION,1716911090383
enr:-Ma4QFHaryi_8rP5wHFsHYEj15j5I6CELtZW_G-1tZhNcO5yJS9SGkgCK8-PluCGM0k2bbtxxtv5lFxGsphyKHLlByKCBIqHYXR0bmV0c4gAAAAAAADAAIRldGgykGqVoakEAAAA__________-CaWSCdjSCaXCEEKq5aIRxdWljgqQRiXNlY3AyNTZrMaED7-YiqiXbLHAPwkapVL-d7CSyt5KMcruHF5F92biHLYSIc3luY25ldHMIg3RjcIKkEIN1ZHCCpBA,16Uiu2HAmUoTKhtKU7cem2wbf5XgoofUTiBSb6QGnZEBUt9j5FnEF,/ip4/16.170.185.104/tcp/42000,286685,"{""seq_number"":1142,""attnets"":""000000000000c000"",""syncnets"":""08""}","[54,55]","[59,22,13,55,1,14,21,46,34,6,54,50,1,48,13,10,14,8,34,2,46,63,50,62,41,37,14,49,53,26,60]",Lighthouse/v5.1.3-3058b96/x86_64-linux,FLY_MACHINE_ID,FLY_REGION,1716911099048
enr:-Ly4QMGcKdqQox9vMet3slmEEqRlgMm2XYPYVu2tGQdlGSH7eQkriA4_DH_xYZtn3VVZ7sDJVD_cWR9pUnz6odh5FNQPh2F0dG5ldHOIAAAAAAwAAACEZXRoMpBqlaGpBAAAAP__________gmlkgnY0gmlwhNW9ghiJc2VjcDI1NmsxoQOupl3HzKpXu4p9cgIFKgMh8HJy_WnnPfrzSXTNQkb4xIhzeW5jbmV0cwCDdGNwgiMog3VkcIIjKA,16Uiu2HAmQQkRcqnRXsobGZNU9irGMnv5si4oicwUVokSYqG4CqUX,/ip4/213.189.130.24/tcp/9000,286685,"{""seq_number"":13,""attnets"":""000000000c000000"",""syncnets"":""00""}","[34,35]","[43,42,34,12,25,35,15,43,26,41]",nimbus,FLY_MACHINE_ID,FLY_REGION,1716911110166
enr:-MK4QKdHHfqfgM0j0Eif_-EOmKVgqoSAITHUdkrhQgpS-uANEnSpX7F_DjP6yNTGpPwOnPMviYQQZMXM-VP78lwGvNiGAY-p0tiCh2F0dG5ldHOIAAAAAAAAAAyEZXRoMpBqlaGpBAAAAP__________gmlkgnY0gmlwhM3GaYeJc2VjcDI1NmsxoQK2qWDn6siyV8nDlmPQfPKJ_Yv7sv8ya5mk_AZWsRHHkYhzeW5jbmV0cwCDdGNwgjLIg3VkcIIu4A,16Uiu2HAm7ihyokhCRenCBmm6MgfCLWTTUWYsyd8yiXftkSKAiwcL,/ip4/205.198.105.135/tcp/13000,286685,"{""seq_number"":4,""attnets"":""000000000000000c"",""syncnets"":""00""}","[58,59]","[22,32,21,36,5,63,62,9,57,52,11,56,2,40,45,28,50,7,13,35,58,14,20,60,43,0,24,49,18,17,6,31,42,39,59,34,44,48,29,33,46,19,25,37,23,26,15,54,27,4,12,61,47,51,38,3,41,10,55,30,1,8,16,53]",Prysm/v5.0.3/38f208d70dc95b12c08403f5c72009aaa10dfe2f,FLY_MACHINE_ID,FLY_REGION,1716911127893
enr:-Ma4QFhM2BUT69gJPlPh3Mf0WoAxG2fMUYlmUNQGUX3uGJmcNDnyxZYFSIYmR8LAwiOiNPFocStk7wbVFdH7X6qYO3WCcLOHYXR0bmV0c4gAAAAAAAAGAIRldGgykGqVoakEAAAA__________-CaWSCdjSCaXCEIk3uPYRxdWljgiZ9iXNlY3AyNTZrMaEDRpoeA3g_HrFW7VOrHVDUSKaILdnkpSsRXcC8VncEoBSIc3luY25ldHMGg3RjcIImfIN1ZHCCJnw,16Uiu2HAmHQbC4bRTKZ1ERziAgL9hnjPVYJjJgR7SK39tqzMwQ4TD,/ip4/34.77.238.61/tcp/9852,286685,"{""seq_number"":28781,""attnets"":""0000000000000600"",""syncnets"":""06""}","[49,50]","[49,35,50,46,44,30]",Lighthouse/v5.1.3-3058b96/x86_64-linux,FLY_MACHINE_ID,FLY_REGION,1716911128932
enr:-MK4QD5OINJlLYEE5Xy89K3NZQ6E-UGjbQHLV73_SHKoJcmHUg4oJo9lkLdTmsqPpo_JuxMSvZsglEg61IuPAs7dcRSGAY8a8F5-h2F0dG5ldHOIAwAAAAAAAACEZXRoMpBqlaGpBAAAAP__________gmlkgnY0gmlwhEIXyTqJc2VjcDI1NmsxoQLERt8r7bq7M9ws95gBiabtlOlhpD5J8zOkIm7KGtD2GIhzeW5jbmV0cwCDdGNwgjLIg3VkcIIu4A,16Uiu2HAm8drZuNh5G6Y5MmaPuJemuoCaNn5CWbfRF2TRwuuhVTh1,/ip4/66.23.201.58/tcp/13000,286685,"{""seq_number"":29,""attnets"":""0300000000000000"",""syncnets"":""00""}","[0,1]","[26,34,4,17,47,60,51,12,43,27,56,39,7,29,59,28,6,42,19,44,33,21,0,18,55,48,40,41,45,62,38,49,16,52,1,32,10,31,36,15,8,46,30,50,54,63,53,24,5,35,57,11,14,20,25,3,61,23,2,13,37,9,22,58]",Prysm/Unknown/Local build,FLY_MACHINE_ID,FLY_REGION,1716911129676
enr:-Ma4QAmCXQ-YztkXaQV1w8Eco_i2ZJgeKXoY1BO9mWe3ZQWXN7krlyKhe3EYjLoIC_6s4pLnWzx8ApknqzHkhML_zl6CAU-HYXR0bmV0c4gAAAAAAACAAYRldGgykGqVoakEAAAA__________-CaWSCdjSCaXCEDfqV-oRxdWljgiMpiXNlY3AyNTZrMaECAJ2TBFi6fJT3SwSyBXUGCIiscyywIRkUp5opvap26SWIc3luY25ldHMAg3RjcIIjKIN1ZHCCIyg,16Uiu2HAkuU5LeKjNXyrrYWFyFcEHUZzLDSX33rZD2w1shacpZFzt,/ip4/13.250.149.250/tcp/9000,286685,"{""seq_number"":318,""attnets"":""0000000000008001"",""syncnets"":""00""}","[55,56]","[56,55,18,61]",Lighthouse/v5.1.2-5ce1619/aarch64-linux,FLY_MACHINE_ID,FLY_REGION,1716911161370
enr:-Ma4QB2Fkq06Nn_WIfD-Y8rvhGtEhNUW4psTTL_IdMkkSGGtNrzujBA8hKpqaD1ZPqh0jibOu7VzHFYvylBTwQb0IC6CCRmHYXR0bmV0c4gAAAAAAAAGAIRldGgykGqVoakEAAAA__________-CaWSCdjSCaXCEWZXa94RxdWljgiMpiXNlY3AyNTZrMaECrPgXhs-EUzsES9PGKRHs-0U_RiyADIkWzUGyfBfePciIc3luY25ldHMLg3RjcIIjKIN1ZHCCIyg,16Uiu2HAm74sWyy4QnpLaF5PgGtGqnZbNr25WcSZvC8eKmCcxNMH1,/ip4/89.149.218.247/tcp/9000,286685,"{""seq_number"":2333,""attnets"":""0000000000000600"",""syncnets"":""0b""}","[49,50]","[15,4,50,57,24,12,31,18,1,35,20,47,23,10,45,49,9,19]",Lighthouse/v5.1.3-3058b96/x86_64-linux,FLY_MACHINE_ID,FLY_REGION,1716911164340
enr:-Ma4QFLGrLipwoEzEWpwM8IBQHV2gPMUPjCD01jnReG8hmrXa2kisCauyhwLpJ4jumVv3WMe-4-2sXHmU4sou8Z77FiCBWCHYXR0bmV0c4gADAAAAAAAAIRldGgykGqVoakEAAAA__________-CaWSCdjSCaXCEM1tqUIRxdWljgiMpiXNlY3AyNTZrMaEDRDTr-uuuLLKj4d2pfq_8M7wZrhDoKO0UpTGXVJ8aYh-Ic3luY25ldHMPg3RjcIIjKIN1ZHCCIyg,16Uiu2HAmHFEsu8VCyXTMErXYApVLszwYDVhHa2hLpoZ1oMdCTTn6,/ip4/51.91.106.80/tcp/9000,286685,"{""seq_number"":1338,""attnets"":""000c000000000000"",""syncnets"":""0f""}","[10,11]","[11,10,49]",Lighthouse/v5.1.3-3058b96/x86_64-linux,FLY_MACHINE_ID,FLY_REGION,1716911188932
enr:-Ly4QDi1goU0r2hAaVeXuP3OdrGU_beZWwLGxrKwKAMJF14FLfVABuxtZ-oDhiwUOzarfrm5TuOsQpBdkYbi4Cbv_i8Qh2F0dG5ldHOIABgAAAAAAACEZXRoMpBqlaGpBAAAAP__________gmlkgnY0gmlwhDNP5hqJc2VjcDI1NmsxoQLWSxMVYHr76qTANuKKn1AtNKyNva1T7DL0mDDE_TKr9YhzeW5jbmV0cwKDdGNwgiMog3VkcIIjKA,16Uiu2HAm9rBd89PjuhKQJ8HqKmmpjS9M5GY8yY1CmyCBsoEctrrp,/ip4/51.79.230.26/tcp/9000,286685,"{""seq_number"":10,""attnets"":""0018000000000000"",""syncnets"":""02""}","[11,12]","[11,12,9,18,37]",lodestar/v1.18.1,FLY_MACHINE_ID,FLY_REGION,1716911190575
enr:-Ma4QIPlI5Iw6WGqfmTdxrnIH_Do1k3CylqEjjZq8HBzRqXWI-F5mek_Z-G_tAGafJB2pSmYIrKteVaTtHMshK-t7XuCAXOHYXR0bmV0c4gAGAAAAAAAAIRldGgykGqVoakEAAAA__________-CaWSCdjSCaXCENvmt34RxdWljgjLJiXNlY3AyNTZrMaECZETvWaROj3L8tnNmFPXR_AbSYCkXe3L2px_Ky1Xb1dmIc3luY25ldHMHg3RjcIIyyIN1ZHCCLuA,16Uiu2HAm2B5iVaC8bGVhwZ2QHsH2dy8VFzfqCFqptMYTPzTNzVrQ,/ip4/54.249.173.223/tcp/13000,286685,"{""seq_number"":1217,""attnets"":""0018000000000000"",""syncnets"":""07""}","[11,12]","[22,1,61,12,46,51,37,7,2,6,59,11,48,41]",rust-libp2p/0.44.1,FLY_MACHINE_ID,FLY_REGION,1716911191549
enr:-Ma4QIWcnBRB_pL0tpxd4cNPbNOk76WjWs7Lm0uAH4dhG0OLKg6dE7iFC5PyDSDHUIoNtt8r0SOXX9_gTimT9U0RKVSCUaqHYXR0bmV0c4gAAAAAAADAAIRldGgykGqVoakEAAAA__________-CaWSCdjSCaXCEWGVFuIRxdWljgiMpiXNlY3AyNTZrMaEDWnC_nOvj01S_MZ8lVPJzuTw8eVVLp84kuu77ZTWGkMSIc3luY25ldHMAg3RjcIIjKIN1ZHCCIyg,16Uiu2HAmJk2kxj3kJpgNyMGQSAcqcrwmynq5dUZNnusEpu1Hp7cf,/ip4/88.101.69.184/tcp/9000,286685,"{""seq_number"":20770,""attnets"":""000000000000c000"",""syncnets"":""00""}","[54,55]","[55,54,11]",rust-libp2p/0.44.1,FLY_MACHINE_ID,FLY_REGION,1716911218975
